Method,Label Fraction,LV Dice,MYO Dice,RV Dice,Mean Dice,HD95 (mm)
Supervised Baseline,10%,,,,,
Supervised Baseline,25%,,,,,
Supervised Baseline,50%,,,,,
Supervised Baseline,100%,,,,,
SSL Only,10%,,,,,
SSL Only,25%,,,,,
SSL Only,50%,,,,,
SSL Only,100%,,,,,
SSL + Motion,10%,,,,,
SSL + Motion,25%,,,,,
SSL + Motion,50%,,,,,
SSL + Motion,100%,,,,,
SSL + Pseudo-Labels,10%,,,,,
SSL + Pseudo-Labels,25%,,,,,
SSL + Pseudo-Labels,50%,,,,,
SSL + Pseudo-Labels,100%,,,,,
Full Pipeline (Ours),10%,,,,,
Full Pipeline (Ours),25%,,,,,
Full Pipeline (Ours),50%,,,,,
Full Pipeline (Ours),100%,,,,,
